Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
CRWD,ST,"CROWDSTRIKE HOLDINGS, INC. - CLASS A",2020-09-03,Purchase,"$500,001 - $1,000,000",NEW,,"PURCHASED 5,000 SHARES.",Nancy Pelosi,P000197,2020-10-04,D, CA12,House,,2020-10-10,96.1536869209665,California,2023-11-16
AAPL,ST,APPLE INC.,2020-09-02,Purchase,"$1,001 - $15,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2020-09-09,R, OH07,House,,2020-09-27,4.31379755496496,Ohio,2023-11-16
GE,ST,GENERAL ELECTRIC COMPANY,2020-08-24,Purchase,"$1,001 - $15,000",NEW,,,Austin Scott,S001189,2020-09-20,R, GA08,House,,2020-09-27,381.248382949814,Georgia,2023-11-16
JNJ,ST,JOHNSON & JOHNSON,2020-08-21,Purchase,"$1,001 - $15,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2020-08-25,R, OH07,House,,2020-08-27,-75.696425031811,Ohio,2023-11-16
BRK.B,ST,BERKSHIRE HATHAWAY INC. NEW,2020-08-13,Sale,"$15,001 - $50,000",NEW,,,John Curtis,C001114,2020-08-25,R, UT03,House,,2020-08-27,43.4358818655526,Utah,2023-11-16
C,ST,"CITIGROUP, INC.",2020-08-13,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-08-25,R, UT03,House,,2020-08-27,-47.1353719535424,Utah,2023-11-16
CSX,ST,CSX CORPORATION,2020-08-13,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-08-25,R, UT03,House,,2020-08-27,-29.4951452206391,Utah,2023-11-16
BE,ST,BLOOM ENERGY CORPORATION CLASS A,2020-08-10,Purchase,"$1,001 - $15,000",NEW,,,Austin Scott,S001189,2020-09-20,R, GA08,House,,2020-09-27,-73.6854135015861,Georgia,2023-11-16
FB,ST,"FACEBOOK, INC. - CLASS A",2020-08-07,Sale,"$1,000,001 - $5,000,000",NEW,,"CONTRIBUTION OF 5,000 SHARES HELD PERSONALLY TO THE PAUL & NANCY PELOSI CHARITABLE FOUNDATION VIA TRANSFER",Nancy Pelosi,P000197,2020-09-03,D, CA12,House,,2020-09-05,-49.7266995083941,California,2023-11-16
EMR,ST,EMERSON ELECTRIC COMPANY,2020-07-31,Purchase,"$1,001 - $15,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2020-08-04,R, OH07,House,,2020-08-05,26.9526117752181,Ohio,2023-11-16
