feature,importance
momentum_7d,0.32589684313025785
momentum_7d_x_trade_size,0.30465166011004113
state_code,0.14777361625838398
state_x_is_purchase,0.07644571705602203
trade_size,0.047635993446893135
trade_size_x_is_purchase,0.03292574256633883
party_code,0.02479043257781223
chamber_code,0.018869681413090925
is_purchase,0.011703789923469644
party_x_chamber,0.009306523517690363
